Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_buf5_nrh250,PRAC_MOPAC_buf8_nrh250,PRAC_MOPAC_buf16_nrh250,PRAC_MOPAC_buf32_nrh250,PRAC_MOPAC_buf64_nrh250
GMEAN,1.000,1.099,1.263,1.104,1.032,1.020,1.015
cam4,1.000,1.084,1.157,1.013,1.008,1.005,1.000
mix1,1.000,1.148,1.402,1.199,1.048,1.022,1.021
mcf,1.000,1.031,1.190,1.072,1.022,1.015,1.015
add,1.000,1.005,1.086,1.000,1.000,1.000,1.000
mix4,1.000,1.157,1.446,1.224,1.046,1.013,1.013
mix6,1.000,1.126,1.398,1.163,1.031,1.014,1.009
xalancbmk,1.000,1.130,1.315,1.037,1.002,1.000,1.000
scale,1.000,1.010,1.064,1.000,1.000,1.000,1.000
omnetpp,1.000,1.176,1.279,1.176,1.076,1.061,1.059
lbm,1.000,1.121,1.442,1.259,1.057,1.026,1.011
mix2,1.000,1.142,1.227,1.131,1.052,1.037,1.035
cactuBSSN,1.000,1.158,1.242,1.268,1.138,1.044,0.993
mix3,1.000,1.137,1.429,1.210,1.039,1.029,1.025
fotonik3d,1.000,1.178,1.696,1.145,1.027,1.013,1.003
masstree,1.000,1.072,1.231,1.043,1.015,1.014,1.014
bwaves,1.000,1.089,1.239,1.064,1.000,1.000,1.000
triad,1.000,1.008,1.194,1.000,1.000,1.000,1.000
blender,1.000,1.092,1.048,1.003,1.000,1.001,1.001
mix5,1.000,1.119,1.365,1.161,1.032,1.024,1.025
roms,1.000,1.094,1.115,1.036,0.990,0.988,0.993
xz,1.000,1.179,1.322,1.205,1.104,1.095,1.093
parest,1.000,1.042,1.288,1.072,1.053,1.053,1.054
copy,1.000,1.006,1.067,1.000,1.000,1.000,1.000
