Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOAT_nrh1000,PRAC_MOAT_nrh500,PRAC_MOAT_nrh50,PRAC_MOAT_nrh75,PRAC_MOAT_nrh100,PRAC_MOAT_nrh200,PRAC_MOAT_nrh4000
GMEAN,1.000,1.103,1.103,1.103,1.206,1.103,1.103,1.103,1.103
cam4,1.000,1.084,1.084,1.084,1.085,1.084,1.084,1.084,1.084
mix1,1.000,1.176,1.176,1.176,1.322,1.176,1.176,1.176,1.176
mcf,1.000,1.031,1.031,1.031,1.155,1.031,1.031,1.031,1.031
add,1.000,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005
mix4,1.000,1.168,1.168,1.168,1.326,1.168,1.168,1.168,1.168
mix6,1.000,1.152,1.152,1.152,1.281,1.152,1.152,1.152,1.152
xalancbmk,1.000,1.130,1.130,1.130,1.175,1.130,1.130,1.130,1.130
scale,1.000,1.010,1.010,1.010,1.010,1.010,1.010,1.010,1.010
omnetpp,1.000,1.176,1.176,1.176,1.313,1.176,1.176,1.176,1.176
lbm,1.000,1.121,1.121,1.121,1.439,1.121,1.121,1.121,1.121
mix2,1.000,1.150,1.150,1.150,1.343,1.150,1.150,1.150,1.150
cactuBSSN,1.000,1.158,1.158,1.158,1.360,1.158,1.158,1.158,1.158
mix3,1.000,1.138,1.138,1.138,1.292,1.138,1.138,1.138,1.138
fotonik3d,1.000,1.178,1.178,1.178,1.350,1.178,1.178,1.178,1.178
masstree,1.000,1.072,1.072,1.072,1.106,1.072,1.072,1.072,1.072
bwaves,1.000,1.089,1.089,1.089,1.142,1.089,1.089,1.089,1.089
triad,1.000,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008
blender,1.000,1.092,1.092,1.092,1.095,1.092,1.092,1.092,1.092
mix5,1.000,1.162,1.162,1.162,1.319,1.162,1.162,1.162,1.162
roms,1.000,1.093,1.093,1.093,1.131,1.093,1.093,1.093,1.093
xz,1.000,1.179,1.179,1.179,1.349,1.179,1.179,1.179,1.179
parest,1.000,1.042,1.042,1.042,1.315,1.042,1.042,1.042,1.042
copy,1.000,1.006,1.006,1.006,1.006,1.006,1.006,1.006,1.006
