Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_df0_nrh1000,PRAC_MOPAC_df1_nrh1000,PRAC_MOPAC_df2_nrh1000,PRAC_MOPAC_df4_nrh1000
GMEAN,1.000,1.099,1.031,1.001,1.000,1.000
cam4,1.000,1.084,1.016,1.002,1.000,1.000
mix1,1.000,1.148,1.028,0.999,1.000,1.000
mcf,1.000,1.031,1.037,1.003,1.000,1.000
add,1.000,1.005,1.028,1.000,1.000,1.000
mix4,1.000,1.157,1.029,1.000,1.000,1.000
mix6,1.000,1.126,1.027,1.001,0.999,0.999
xalancbmk,1.000,1.130,1.019,1.000,1.000,1.000
scale,1.000,1.010,1.028,1.000,1.000,1.000
omnetpp,1.000,1.176,1.044,1.010,1.000,1.000
lbm,1.000,1.121,1.038,1.007,1.000,1.000
mix2,1.000,1.142,1.036,1.007,1.001,1.001
cactuBSSN,1.000,1.158,1.030,1.002,1.000,1.000
mix3,1.000,1.137,1.037,1.001,1.000,1.000
fotonik3d,1.000,1.178,1.044,1.010,1.000,1.000
masstree,1.000,1.072,1.043,1.000,1.000,1.000
bwaves,1.000,1.089,1.031,1.000,1.000,1.000
triad,1.000,1.008,1.030,1.000,1.000,1.000
blender,1.000,1.092,1.011,1.000,1.000,1.000
mix5,1.000,1.119,1.028,1.000,1.000,1.000
roms,1.000,1.094,1.023,0.980,1.000,1.000
xz,1.000,1.179,1.041,1.010,1.000,1.000
parest,1.000,1.042,1.028,1.000,1.000,1.000
copy,1.000,1.006,1.028,1.000,1.000,1.000
