Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_buf5_ref2,PRAC_MOPAC_buf8_ref2,PRAC_MOPAC_buf16_ref2,PRAC_MOPAC_buf32_ref2,PRAC_MOPAC_buf64_ref2
GMEAN,1.000,1.113,1.053,1.019,1.010,1.005,1.005
cam4,1.000,1.084,1.013,1.004,1.006,1.000,1.000
mcf,1.000,1.031,1.044,1.016,1.008,1.006,1.010
xalancbmk,1.000,1.130,1.006,1.001,1.000,1.000,1.000
omnetpp,1.000,1.176,1.093,1.044,1.025,1.019,1.016
lbm,1.000,1.121,1.087,1.030,1.016,1.011,1.006
cactuBSSN,1.000,1.158,1.092,1.049,1.026,0.996,0.994
fotonik3d,1.000,1.178,1.137,1.049,1.015,1.010,1.008
bwaves,1.000,1.089,1.054,1.003,0.999,1.000,1.000
blender,1.000,1.092,1.001,1.004,1.000,1.000,1.000
roms,1.000,1.094,1.011,0.989,0.998,0.999,1.000
xz,1.000,1.179,1.092,1.038,1.024,1.020,1.017
parest,1.000,1.042,1.013,1.006,1.005,1.004,1.004
